id,band_gap
mp-771120,0.1701
mp-771343,0
mp-771882,2.0402
mp-772664,0.824899999999999
mp-774807,0.061
mp-775997,1.3052
mp-776044,2.4953
mp-774813,3.3287
mp-776089,1.9051
mp-777461,1.3335
mp-776411,0.0156
mp-778200,0.430599999999999
mp-777497,1.0884
mp-779330,3.9353
mp-780494,0.9493
mp-836,0
mp-849779,3.9631
mp-781623,0
mp-862867,0
mp-863681,0
mp-863715,0
mp-864757,0
mp-864932,0
mp-865234,0
mp-865246,0
mp-865610,0.0552
mp-865949,0
mp-867680,0.250599999999999
mp-867934,0.1114
mp-9258,4.4635
mp-9514,1.81719999999999
mp-972093,0
mp-973225,1.5919
mp-976064,0
mp-978546,0
mp-981250,0
mp-977123,0
mp-982045,0
mp-996956,0.606
mp-9952,0
mp-997054,1.109
mvc-11950,1.35719999999999
mvc-12108,1.62449999999999
mvc-12571,0
mvc-14327,1.5869
mvc-15272,0
mvc-3744,0.222399999999999
mp-1004373,1.0305
mp-1014287,0
mp-1018073,0
mp-1025253,0
mp-1025937,0
mp-10266,0
mp-1026910,0.501499999999999
mp-1027169,0.594
mp-1028651,0.0575
mp-1037482,0
mp-1037678,3.47179999999999
mp-1037159,0.5606
mp-1040297,1.61849999999999
mp-1048,0
mp-1049,0.0181
mp-1056900,0
mp-1064459,0
mp-1066480,0
mp-10685,0
mp-10686,0
mp-1071737,0
mp-1073122,0
mp-1075496,0
mp-1075499,0
mp-1079012,0
mp-1079110,0
mp-1079294,0
mp-1075766,0
mp-1079782,0
mp-1079596,0
mp-1080182,0
mp-1080572,0
mp-1080316,0
mp-1091415,0
mp-1092251,0
mp-1093727,1.1876
mp-1094122,0
mp-1094333,0
mp-1093747,0.2591
mp-1094657,0
mp-1094784,0
mp-1095604,0
mp-1095638,0
mp-1094441,0
mp-1096306,0
mp-1095679,0
mp-1097520,0.1633
mp-1097110,0
mp-1099254,0
mp-1099330,0
mp-1100551,0.9477
mp-1097541,0.515099999999999
mp-1100586,0
mp-1101285,0.3306
mp-1100942,0.479099999999999
mp-1103685,0.5141
mp-1103827,0
mp-1104894,0
mp-1103966,0
mp-1111138,0.444699999999999
mp-1111489,5.2117
mp-1111965,2.5533
mp-1105777,0
mp-1120768,1.63639999999999
mp-1153970,0.9546
mp-11625,5.0534
mp-1174490,0.2117
mp-1174293,0.2467
mp-1175844,0
mp-1177181,0.0519
mp-1177309,0
mp-1177403,5.0369
mp-1177476,0
mp-1178161,2.5433
mp-1178782,0
mp-1179530,0
mp-1180345,0.3659
mp-1180425,0
mp-1181563,0
mp-1181106,0.6122
mp-11820,0
mp-1183164,0
mp-1183275,0
mp-1183309,0
mp-1183613,0
mp-1183772,0
mp-1184874,0
mp-1184945,0
mp-1185040,0
mp-1185055,0
mp-1185518,0
mp-1185588,0
mp-1185912,0
mp-1186079,0
mp-1186892,0
mp-1187461,0
mp-1187593,0
mp-1187602,0
mp-1187791,0.2137
mp-1188463,0.211299999999999
mp-1188474,0
mp-1188494,0
mp-1189495,0
mp-1189639,0
mp-1190968,3.4962
mp-1191671,0
mp-1195032,2.8123
mp-1195056,0
mp-1195296,4.23119999999999
mp-1196185,0
mp-1197513,0
mp-1197608,4.9643
mp-1198217,4.26779999999999
mp-1198325,0.1923
mp-1199394,3.6294
mp-1199549,0
mp-1182887,0
mp-1201817,0
mp-1202119,0.416399999999999
mp-1202583,0
mp-1203111,0
mp-1203135,0
mp-1203684,2.9243
