id,ehull
mp-1028998,0.096
mp-1028999,0.132
mp-10289,0.0
mp-1029015,0.105
mp-1029021,0.084
mp-1029025,0.125
mp-1029026,0.077
mp-1029031,0.077
mp-1029037,0.034
mp-1029043,0.074
mp-1029059,0.111
mp-1029062,0.094
mp-1029066,0.118
mp-1029069,0.076
mp-1029072,0.083
mp-1029073,0.162
mp-1029074,0.109
mp-1029075,0.072
mp-1029077,0.06
mp-1029078,0.182
mp-1029101,0.104
mp-1029102,0.098
mp-1029112,0.07
mp-1029113,0.185
mp-1029115,0.081
mp-1029116,0.104
mp-1029139,0.089
mp-1029141,0.186
mp-1029143,0.065
mp-1029144,0.098
mp-1029145,0.111
mp-1029147,0.16
mp-1029148,0.104
mp-1029153,0.104
mp-1029154,0.104
mp-1029161,0.091
mp-1029165,0.108
mp-1029176,0.104
mp-1029179,0.076
mp-1029189,0.076
mp-1029190,0.182
mp-1029213,0.083
mp-1029219,0.181
mp-1029225,0.169
mp-1029231,0.092
mp-1029232,0.051
mp-1029233,0.09
mp-1029234,0.051
mp-1029235,0.089
mp-1029236,0.072
mp-1029243,0.109
mp-1029245,0.078
mp-1029246,0.002
mp-1029249,0.104
mp-1029250,0.161
mp-1029252,0.053
mp-1029255,0.06
mp-1029256,0.013
mp-1029258,0.0
mp-1029259,0.078
mp-1029262,0.0
mp-1029264,0.085
mp-1029267,0.0
mp-1029275,0.0
mp-1029281,0.053
mp-1029282,0.184
mp-1029284,0.053
mp-1029294,0.07
mp-1029297,0.0
mp-1029306,0.09
mp-1029307,0.059
mp-1029312,0.0
mp-1029313,0.086
mp-1029321,0.097
mp-1029322,0.07
mp-1029327,0.077
mp-1029329,0.098
mp-1029330,0.0
mp-1029331,0.0
mp-1029334,0.02
mp-1029336,0.18
mp-1029337,0.014
mp-1029349,0.0
mp-1029359,0.0
mp-1029368,0.0
mp-1029375,0.0
mp-1029378,0.0
mp-1029379,0.119
mp-1029380,0.12
mp-1029385,0.0
mp-1029387,0.0
mp-1029396,0.0
mp-10293,0.147
mp-1029403,0.06
mp-1029408,0.031
mp-1029418,0.0
mp-1029421,0.141
mp-1029422,0.0
mp-1029442,0.0
mp-1029469,0.0
mp-1029479,0.012
mp-1029490,0.107
mp-1029498,0.0
mp-1029510,0.156
mp-1029573,0.0
mp-1029580,0.0
mp-1029595,0.0
mp-1029602,0.0
mp-1029633,0.0
mp-1029655,0.0
mp-1029656,0.02
mp-1029660,0.0
mp-1029665,0.087
mp-1029677,0.0
mp-1029699,0.0
mp-1029702,0.024
mp-1029711,0.0
mp-1029718,0.008
mp-1029730,0.0
mp-1029733,0.0
mp-1029756,0.036
mp-1029763,0.46
mp-1029770,0.0
mp-1029773,0.0
mp-1029776,0.003
mp-1029779,0.069
mp-1029784,0.0
mp-1029791,0.0
mp-1029799,0.0
mp-1029801,0.044
mp-1029826,0.0
mp-1029832,0.0
mp-1029834,0.041
mp-1029872,0.0
mp-1029903,0.0
mp-1029920,0.0
mp-1029932,0.0
mp-1029937,0.093
mp-1029943,0.0
mp-1029945,0.084
mp-1029946,0.117
mp-1029947,0.119
mp-1029948,0.149
mp-1029951,0.16
mp-1029952,0.103
mp-1029975,0.0
mp-10299,0.0
mp-1029,0.0
mp-1030101,0.085
mp-1030102,0.09
mp-1030104,0.059
mp-1030106,0.013
mp-1030107,0.06
mp-1030108,0.019
mp-1030119,0.002
mp-1030120,0.085
mp-1030128,0.09
mp-1030131,0.051
mp-1030136,0.077
mp-1030146,0.034
mp-1030153,0.088
mp-1030154,0.116
mp-1030155,0.006
mp-1030156,0.11
mp-1030158,0.105
mp-1030159,0.09
mp-1030160,0.047
mp-1030161,0.052
mp-1030162,0.125
mp-1030163,0.199
mp-1030164,0.078
mp-1030165,0.117
mp-1030176,0.083
mp-1030190,0.21
mp-1030194,0.065
mp-1030195,0.07
mp-1030198,0.139
mp-1030201,0.083
mp-1030212,0.105
mp-1030235,0.072
mp-1030239,0.098
mp-1030240,0.079
mp-1030243,0.184
mp-1030244,0.169
mp-1030247,0.076
mp-1030269,0.079
mp-1030274,0.06
mp-1030281,0.097
mp-1030284,0.096
mp-1030286,0.117
mp-1030292,0.097
mp-1030295,0.072
mp-1030297,0.119
mp-1030307,0.118
mp-1030309,0.118
mp-1030319,0.0
mp-1030325,0.065
mp-1030327,0.047
mp-1030331,0.006
mp-1030332,0.082
mp-1030333,0.095
mp-1030334,0.091
mp-1030335,0.013
mp-1030337,0.063
mp-1030338,0.096
mp-1030340,0.063
mp-1030352,0.06
mp-1030353,0.07
mp-1030354,0.079
mp-1030373,0.095
mp-1030375,0.053
mp-1030389,0.104
mp-1030391,0.118
mp-1030392,0.104
mp-1030393,0.028
mp-1030403,0.102
mp-1030404,0.116
mp-1030408,0.111
mp-1030409,0.087
mp-1030410,0.084
mp-1030418,0.075
mp-1030419,0.103
mp-1030448,0.079
mp-1030449,0.091
mp-1030450,0.081
mp-1030453,0.065
mp-1030454,0.105
mp-1030456,0.102
mp-1030459,0.055
mp-1030461,0.078
mp-1030465,0.074
mp-1030466,0.109
mp-1030467,0.116
mp-1030514,0.087
mp-1030515,0.104
mp-1030516,0.123
mp-1030520,0.034
mp-1030524,0.077
mp-1030526,0.21
mp-1030536,0.076
mp-1030571,0.081
mp-1030572,0.181
mp-1030573,0.091
mp-1030575,0.087
mp-1030577,0.065
mp-1030578,0.104
mp-1030580,0.076
mp-1030596,0.104
mp-1030605,0.084
mp-1030613,0.098
mp-1030614,0.066
mp-1030615,0.091
mp-1030616,0.111
mp-1030617,0.109
mp-1030682,0.072
mp-1030685,0.103
mp-1030695,0.098
mp-1030700,0.104
mp-1030709,0.029
mp-1030721,0.021
mp-1030722,0.084
mp-1030732,0.028
mp-1030736,0.11
mp-1030739,0.118
mp-1030742,0.076
mp-1030745,0.033
mp-1030750,0.102
mp-1030753,0.116
mp-1030775,0.056
mp-1030784,0.199
mp-1030827,0.087
mp-1030961,0.075
mp-10314,0.0
mp-10322,0.0
mp-10326,0.0
mp-10333,0.0
mp-10334,0.009
mp-1033557,0.531
mp-1033632,0.654
mp-10336,0.0
mp-10337,0.0
mp-10340,0.0
mp-10341,0.0
mp-10347,0.024
mp-10349,0.039
mp-10368,0.0
mp-10381,0.0
mp-10390,0.009
mp-10392,0.0
mp-1039,0.0
mp-10401,0.0
mp-10402,0.0
mp-1040468,0.044
mp-10408,0.0
mp-10413,0.436
mp-10417,0.0
mp-10418,0.0
mp-10421,0.33
mp-10423,0.336
mp-10428,0.055
mp-10437,0.038
mp-10444,0.023
mp-10461,0.0
mp-10464,0.052
mp-10474,0.0
mp-10476,0.0
mp-10477,0.0
mp-1047,0.014
mp-10481,0.0
mp-10485,0.0
mp-10486,0.013
mp-10487,0.0
mp-10488,0.0
mp-10489,0.0
mp-10492,0.0
mp-10495,0.0
mp-10497,0.053
mp-1049,0.0
mp-10509,0.0
mp-10510,0.0
mp-10517,0.0
mp-10519,0.0
mp-10520,0.023
mp-10525,0.317
mp-10543,0.0
mp-10547,0.0
mp-10550,0.0
mp-10552,0.002
mp-10556,0.0
mp-10560,0.0
mp-1056418,1.4
mp-1056920,0.032
mp-1057015,0.001
mp-1057286,0.0
mp-10572,0.0
mp-10601,0.0
mp-1060281,0.806
mp-1060502,0.137
mp-10607,0.0
mp-1060967,0.222
mp-10614,0.075
